Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,6ème ss charpante,,7 ème ss charpante ,,Rameaux,,,Remarque,Rameaux,Fruit 1,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam, v,N° ram,Diam,Long,,N° ram,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam
64.5,54.5,38,50,26.5,5,,,,,,,,,,,,,R1,16,92,,R1,110,59,108,58.5,113,60,,,,,,,,,,
,,,,,0,15,16,10,10.5,8.5,2,,,,,,,R2,4,25,,R2,120,60,115,59,111,57,,,,,,,,,,
,,,,,,,,,25,5.5,6,,,,,,,R3,4.5,17.5,,R3,125,61,139,61.5,,,,,,,,,,,,
,,,,,,,,,4.5,5.5,7,,,,,,,R4,4.5,34.5,,R4,116,63,118,62,135,63.5,,,,,,,,,,
,,,32,14.5,17,,,,,,,,,,,,,R5,6.5,64,,R5,36,42,28,40,,,,,,,,,,,,
,,,,,6,,,,,,,,,,,,,R6,5,34,,R6,25,39,,,,,,,,,,,,,,
,,,,,4.5,,,,,,,,,,,,,R7,6.5,61,,R7,61,52.5,46,50.5,,,,,,,,,,,,
,,,12.5,24,7.5,14,5.5,,,,,,,,,,,R8,4.5,15,,R8,129,63,133,62.5,,,,,,,,,,,,
,,,,,,,38.5,,,,,,,,,,,R9,7.5,44.5,,R9,118,59.5,136,64,151,64,,,,,,,,,,
,,,,,,,13.5,,,,,,,,,,,R10,6,45,,R10,63,54,67,42,,,,,,,,,,,,
,,,,,,,7,,,,,,,,,,,R11,7,46.5,,R11,155,67,160,64,142,62.5,,,,,,,,,,
,,,11,54.5,6,36,9,24,25,,,,,,,,,R12,8,86,,R12,165,68,170,61,156,65,147,68,,,,,,,,
,,,,,,,,,4,,,,,,,,,R13,7,60,,R13,161,66,133,59.5,139,62,,,,,,,,,,
,,,,,,,,,14,,,,,,,,,R14,6,48,,R14,133,62,159,64,145,62.5,,,,,,,,,,
,,,,,,,,,4,,,,,,,,,R15,11,79,,R15,145,63.5,173,67,156,65.5,171,68,,,,,,,,
,,,,,,,40,9.5,10,,,,,13,20,,,R16,4.5,38.5,,R16,138,64.5,145,63.5,127,62,,,,,,,,,,
,,,,,,,,,3.5,,,,,,,,,R17,6,51,,R17,144,65,171,68,136,64,,,,,,,,,,
,,,,,,,8.5,14,5,,,,,,,,,R18,7,65.5,,R18,129,63,146,65,,,,,,,,,,,,
,,,,,,,,17,7,,,,,,,,,R19,10.5,79,,R19,133,62,148,66,153,68,,,,,,,,,,
,,,38,56.5,69,34,22,20,20,,,,,,,,,R20,5.5,26,,R20,163,65,133,59,,,,,,,,,,,,
,,,,,,,,,10,,,,,,,,,R21,11,34.5,,R21,142,64.5,137,62.5,126,61.5,,,,,,,,,,
,,,,,,,,,3,,,,,,,,,R22,11.5,63,,R22,173,69.5,145,62.5,158,60,,,,,,,,,,
,,,,,,49,45,22.5,2,,,,,,,,,R23,6,34,,R23,146,63,159,65,177,64,,,,,,,,,,
,,,,,,,,,32.5,,,,,,,,,R24,7,45,,R24,154,58.5,184,69,201,70.5,,,,,,,,,,
,,,,,,,,,4,,,,,,,,,R25,4.5,40,,R25,161,65,197,69,173,68,,,,,,,,,,
,,,,,,,,,4,,,,,,,,,R26,9,74,,R26,177,62,186,64,209,69,182,65,,,,,,,,
,,,,,,,,,5,,,,,,,,,R27,12,67,,R27,166,60,179,67,,,,,,,,,,,,
,,,,,,,,,5,,,,,,,,,R28,8,63,,R28,163,65,160,64,152,63.5,,,,,,,,,,
,,,,,,,,,4.5,,,,,,,,,R29,11.5,82,,R29,190,69,201,70.1,209,71,176,66,,,,,,,,
,,,,,,,,,3,,,,,,,,,R30,7,71,,R30,173,56,178,67,170,63.5,,,,,,,,,,
,,,,,,,,,4,,,,,,,,,R31,9.5,32,,R31,201,71.5,133,61.5,180,70,188,70.5,,,,,,,,
,,,,,,,,12.5,7,,,,,,,,,R32,10,22,,R32,223,69,188,67,,,,,,,,,,,,
,,,,,,,,,10,,,,,,,,,R33,11,59,,R33,172,68,195,69.5,154,65,,,,,,,,,,
,,,,,,,,,6,,,,,,,,,R34,11.5,47,,R34,158,67,173,68,151,64.5,129,59.5,,,,,,,,
,,,,,,,,,34,37,,,,,,,,R35,11.5,45.5,Remarque,R35,186,66.5,193,68,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,R36,21,82,,R36,176,54,198,66.5,171,63.5,,,,,,,,,,
,,,36,72,40,11,15,,,,,,,,,,,R37,8,60,,R37,169,62,173,64,140,63,152,61,,,,,,,,
,,,,,2,34,38,,,,,,,,,,,R38,11,92,,R38,170,63.5,193,67,203,69,116,59.5,,,,,,,,
,,,,,,75,25,68,14,11,23,,,,,,,R39,8,53,,R39,177,66.8,164,64.5,150,64.5,157,66,,,,,,,,
,,,,,,,,,,,5.5,,,,,,,R40,6.5,24.5,,R40,166,67.5,188,65.5,154,62.5,,,,,,,,,,
,,,,,,,,,,,14.5,,,,,,,R41,15,45,,R41,183,70,181,69,197,70,,,,,,,,,,
,,,,,,,,,,,4,,,,,,,R42,9.5,38,,R42,159,65,153,64,187,67,172,67,,,,,,,,
,,,,,,,,,15,,,,,,,,,R43,9.5,59.5,,R43,153,63,175,64,190,67,,,,,,,,,,
,,,,,,,,,53,,,,,,,,,R44,5,11.5,,R44,175,67,144,63,,,,,,,,,,,,
,,,,,,,,,13.5,,,,,,,,,R45,9,25,,R45,145,63,178,69,141,66.5,,,,,,,,,,
,,,,,,,,,3.5,,,,,,,,,R46,10.5,40,,R46,201,68,188,66,223,69,193,67,,,,,,,,
0,,,,,,,,50.5,60,20.5,12,,,,,,,R47,5.5,24.5,,R47,,,,,,,,,,,,,,,,
,,,,,,,,,,,10,,,,,,,R48,10,14,,R48,,,,,,,,,,,,,,,,
,,,,,,,,,,,65,,,,,,,R49,7.5,49,,R49,192,69.5,203,68,214,73,,,,,,,,,,
,,,,,,,,,,,-4,,,,,,,R50,10.5,34,,R50,211,68,173,66.5,,,,,,,,,,,,
,,,,,,,,,4,,,,,,,,,R51,16,60,,R51,185,66,217,69,157,62,,,,,,,,,,
,,83,111,27,16,19,1,,,,,,,,,,,R52,7,68,,R52,202,68.5,199,68,163,65,187,66.5,,,,,,,,
,,,,,,23,3,14,13.5,,,,,,,,,R53,6,71,,R53,223,69,229,71,198,70.5,182,68,,,,,,,,
,,,,,,,,,19.5,,,,,,,,,R54,5,46,,R54,187,67,197,71.5,181,69,145,67,,,,,,,,
,,,,,,,,,4,,,,,,,,,R55,5.5,62,,R55,214,69,201,70,193,66,,,,,,,,,,
,,,,,,,,,19.5,,,,,,,,,R56,5,34.5,,R56,189,65.5,192,71,141,64.5,,,,,,,,,,
,,,,,,,,,4.5,,,,,,,,,R57,6,62,,R57,160,65,186,68,158,63,,,,,,,,,,
,,,,,,8,0.5,,,,,,,,,,,R58,8,125,,R58,205,69.5,193,67,155,63,,,,,,,,,,
,,,33,32,25.5,15,2,,,,,,,,,,,R59,8,57,,R59,176,62,183,64,143,62,,,,,,,,,,
,,,,,,14.5,4,8.5,5,,,,,,,,,R60,6,63.5,,R60,226,72,203,70.5,198,70,176,68,124,65,,,,,,
,,,,,,,,,6.5,,,,,,,,,R61,3.5,27,,R61,159,62.5,173,73,203,72.5,,,,,,,,,,
,,,43,43,49,55,12,34,0.5,6.5,6,,,,,,,R62,6,25.5,,R62,218,69,209,66.5,176,62.5,,,,,,,,,,
,,,,,,,,,10.5,11.5,2,,,,,,,R63,6.5,61.5,,R63,144,65,173,67,,,,,,,,,,,,
,,,,,,,,,9,15,4,,,,,,,R64,7,78,,R64,193,68,172,65,,,,,,,,,,,,
,,,,,,,,,9,12.5,11.5,12,-9,,,,,R65,4,19,,R65,149,60,168,64.5,226,70,198,69,,,,,,,,
,,,,,,,,,,,,,5,,,,,R66,7,62,,R66,200,69,199,68,196,69,,,,,,,,,,
,,,,,,,,,8,14.5,4,,,,,,,R67,5,4,,R67,214,70,187,67,,,,,,,,,,,,
,,,,,,,,,,,12,,,,,,,R68,9,74,,R68,135,62,124,64,161,65,,,,,,,,,,
,,,,,,,,,,,2.5,12,,,,,,R69,7,50,,R69,135,63.5,166,65,,,,,,,,,,,,
,,100,66,18,6,11,15,11.5,4,,,,,,,,,R70,6,72,,R70,154,62.5,172,67,,,,,,,,,,,,
,,,,,,,,,8,,,,,,,,,R71,6.5,44,,R71,135,61,132,62,156,65,,,,,,,,,,
,,,62,50.5,11,10,14,,,,,,,,,,,R72,7,63,,R72,130,62,175,68,179,67,186,66.5,,,,,,,,
,,,,,,,4,,,,,,,,,,,R73,8.5,75,,R73,139,62,207,68,164,65,,,,,,,,,,
,,,,,,,13,12.5,14.5,,,,,,,,,R74,10,65,,R74,144,66,150,67,,,,,,,,,,,,
,,,,,,,,,3.5,,,,,,,,,R75,8,39,,R75,132,65,116,61,,,,,,,,,,,,
,,,,,,,,,35,42,10,,,,,,,R76,5.5,48,,R76,148,66,144,63,135,64,152,63.5,,,,,,,,
,,,,,,,,,,,14,30.5,15.5,,,,,R77,7.5,48,,R77,192,66.5,161,66.5,134,66,,,,,,,,,,
,,,,,,,,,,,,,17,24,7,9,2.5,R78,7.5,28,,R78,120,60,169,68.5,173,65,,,,,,,,,,
,,,,,,,,,,,,,,,10,,,R79,9,73,,R79,240,68.5,209,67,189,66,,,,,,,,,,
,,,,,,,,,,,,,,,7,,,R80,7.5,67,,R80,126,61,182,68,,,,,,,,,,,,
,,,,,,,,,,,,,,,3.5,,,R81,13.5,81,,R81,174,67,148,64.5,173,68,,,,,,,,,,
,,,9,30.5,61,,,,,,,,,,,,,R82,9.5,85,,R82,180,70,205,72.5,199,71,186,68,,,,,,,,
,,,,,5,21,8,7,5.5,,,,,,,,,R83,7,43.5,,R83,147,65,168,65,147,64,,,,,,,,,,
,,,,,,,,,3,,,,,,,,,R84,10.5,74,,R84,165,68,124,64,148,66,,,,,,,,,,
,,,,,,,,,17,,,,,,,,,R85,9.5,69,,R85,139,64,157,68.5,166,69,,,,,,,,,,
,,,,,,,,,4,,,,,,,,,R86,7,30,,R86,129,63,155,67,163,70,134,61,,,,,,,,
,,,,,,,,,18,,,,,,,,,R87,7,10.5,,R87,162,64,147,63,169,68.5,138,61,,,,,,,,
,,,,,,,,,4,,,,,,,,,R88,10,44,,R88,142,61.5,169,68,173,70,,,,,,,,,,
,,,57,75,9,,,,,,,,,,,,,R89,9.5,94,,R89,129,62,145,63.5,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,R90,10.5,116,,R90,160,71,184,78,130,65,,,,,,,,,,
,,,,,23,18,15,,,,,,,,,,,R91,5,36,,R91,153,66,108,59,,,,,,,,,,,,
,,,,,,,20.5,,,,,,,,,,,R92,9,83,,R92,144,64.5,217,72.5,201,70,175,68.5,168,65,,,,,,
,,,,,4,19,4.5,,,,,,,,,,,R93,7,45,,R93,120,69,116,67.5,,,,,,,,,,,,
,,,,,,,9,,,,,,,,,,,R94,5.5,40,,R94,157,69,145,61.5,188,70,,,,,,,,,,
,,,,,,,10,,,,,,,,,,,R95,7.5,38,,R95,162,63,163,65.5,184,65.5,,,,,,,,,,
,,,,,,,12,,,,,,,,,,,R96,9,80,,R96,207,69.5,175,68.5,160,65,,,,,,,,,,
,,,,,,,6,,,,,,,,,,,R97,7.5,13,,R97,179,68.5,159,62.5,,,,,,,,,,,,
,,,,,,,6,,,,,,,,,,,R98,7.5,56,,R98,164,66,178,64,156,64,,,,,,,,,,
,,,,,26,,,,,,,,,,,,,R99,9,67,,R99,173,62,137,64,,,,,,,,,,,,
,,,,,18.5,,,,,,,,,,,,,R100,7.5,39,,R100,147,64.5,205,68.5,213,71.5,181,67,,,,,,,,
,,,,,11,,,,,,,,,,,,,R101,7,39,,R101,166,67,118,59,,,,,,,,,,,,
,,,,,6.5,,,,,,,,,,,,,R102,12,87,,R102,136,69.5,168,70,139,35,,,,,,,,,,
,,,,,9.5,,,,,,,,,,,,,R103,11,63,,R103,109,55,181,65,199,68,,,,,,,,,,
,,,30.5,105.5,27,68,11,,,,,,,,,,,R104,7.5,74.5,,R104,176,62.5,203,66.5,218,68.5,177,69,,,,,,,,
,,,,,,51,12.5,9,12,,,,,,,,,R105,8,44,,R105,203,72.5,246,74.5,207,71,196,70,,,,,,,,
,,,,,,,23,27,16,,,,,,,,,R106,11,14,,R106,,,,,,,,,,,,,,,,
,,,,,,,,,20,,,,,,,,,R107,5.5,24.5,,R107,155,62,197,68,164,65,,,,,,,,,,
,,,,,,,,,10.5,,,,,,,,,R108,7.5,18.5,,R108,153,67,209,62.5,178,62,,,,,,,,,,
,,,,,,,,,5.5,,,,,,,,,R109,13,38,,R109,168,62,,,,,,,,,,,,,,
,,,,,,,,,6,,,,,,,,,R110,17,81,,R110,157,60,157,64.5,,,,,,,,,,,,
,,,,,,,4,,,,,,,,,,,R111,5,37,,R111,188,65,143,61.5,,,,,,,,,,,,
,,,,,,,,34,8,30,6.5,,,,,,,R112,10.5,30.5,,R112,183,66.5,156,60,191,68,,,,,,,,,,
,,,,,,,,,,,11,,,,,,,R113,5,102.5,,R113,189,65.5,205,67.5,189,60,176,62,,,,,,,,
,,,,,,,,,,,9,23,4,,,,,R114,6.5,41,,R114,169,64,198,67,177,65.5,,,,,,,,,,
,,,,,,,,,,,,,5,,,,,R115,17,120,,R115,189,66.8,206,72.5,186,69,,,,,,,,,,
,,,,,,,,,,,4,21,6,,,,,R116,9.5,34,,R116,153,61,172,65,203,65,,,,,,,,,,
,,,,,,,,,,,,,4,15.5,12,,,R117,8,50,,R117,204,69.5,168,65,196,69,,,,,,,,,,
,,,,,,,,,,,,,,,6,,,R118,13.5,72,,R118,208,67.5,177,61.5,200,68,226,72,,,,,,,,
,,,,,,,,72,22,33,24,,,,,,,R119,13,89,,R119,162,62.5,197,64.5,181,63,,,,,,,,,,
,,,,,,,,,,,8,,,,,,,R120,11.5,20.5,,R120,176,61.5,187,63.5,153,68,127,64,147,62,,,,,,
,,,,,,,,,,,21,,,,,,,R121,10.5,47,,R121,181,63.5,200,65,172,63,186,65,,,,,,,,
,,,,,,,,,,,,,3,6.5,7.5,,,R122,8,33.5,,R122,185,62.5,186,66.5,154,69,214,67,,,,,,,,
,,,,,,,,,,,4.5,26.5,6,,,,,R123,18.5,52,,R123,148,66.5,187,69,,,,,,,,,,,,
,,,,,,,,,,,,,2,,,,,R124,7.5,22,,R124,165,62.5,192,68.5,229,72,,,,,,,,,,
,,,,,,,,,,,,,5.5,,,,,R125,14,132,,R125,209,70.5,219,72.5,178,68,,,,,,,,,,
,,98.5,129,30.5,9.5,22,18,20.5,4.5,,,,,,,,,R126,6,69,,R126,166,66.5,150,61,176,66,,,,,,,,,,
,,,,,,,,,,10,22.4,,,,,,,R127,5.5,39.5,,R127,145,54,166,60,,,,,,,,,,,,
,,,,,,,,,,,9,,,,,,,R128,5.5,42,,R128,185,69,171,65,181,66,150,61,,,,,,,,
,,,,,,,,,,,7,,,,,,,R129,5,31,,R129,179,68,180,68,204,70,,,,,,,,,,
,,,,,,,,,,6.5,16.5,,,,,,,R130,10,70,,R130,151,63,149,62,,,,,,,,,,,,
,,,,,,,,,,,6,,,,,,,R131,5.5,34,,R131,198,68,176,65,148,63.5,,,,,,,,,,
,,,,,,,,,,,9,,,,,,,R132,5,41,,R132,111,59,163,65,147,65.5,,,,,,,,,,
,,,,,,,,,,,9,,,,,,,R133,7,59,,R133,165,63,188,67,153,65,,,,,,,,,,
,,,,,,,,,,,5.5,,,,,,,R134,7,53,,R134,178,67,173,56,,,,,,,,,,,,
,,,3.5,32.5,11,30,37,22,7,,,,,,,,,R135,3.5,17,,R135,137,62.5,140,63,197,68,,,,,,,,,,
,,,,,,,,,16,10,3.5,,,,,,,R136,7,46,,R136,120,62,157,65,161,65.5,,,,,,,,,,
,,,,,,,,,6,9,4,,,,,,,R137,6.5,20,,R137,159,66,200,72.5,189,69,,,,,,,,,,
,,,,,,,,,,,7.5,,,,,,,R138,8,38,,R138,172,63,168,61,,,,,,,,,,,,
,,,,19,10,34,4.5,14,12.5,,,,,,,,,R139,11,42,,R139,183,67,141,62,153,64,,,,,,,,,,
,,,,,,,,,9,,,,,,,,,R140,5.5,32,,R140,175,65,156,62,,,,,,,,,,,,
,,,,23,16,10,9,,,,,,,,,,,R141,6,33.5,,R141,193,65,160,66,201,69.5,,,,,,,,,,
,,,,,,,5,,,,,,,,,,,R142,5,42.5,,R142,160,64,189,69,191,69,199,70,,,,,,,,
,,,,,,,21,21,6,14,5,,,,,,,R143,8,140,,R143,150,64.5,136,61.5,172,66,,,,,,,,,,
,,,,,,,,,16,16.5,6.5,,,,,,,R144,6.5,39,,R144,118,62,125,64,,,,,,,,,,,,
,,,,,,,,,,,2,,,,,,,R145,7,39.5,,R145,157,66,,,,,,,,,,,,,,
,,,,,,,,,,,4.5,,,,,,,R146,13.5,95,,R146,116,68,147,67.5,,,,,,,,,,,,
,,,,47.5,5,,,,,,,,,,,,,R147,9.5,67,,R147,142,64.5,139,63.5,,,,,,,,,,,,
,,,,,13,,,,,,,,,,,,,R148,5,15,,R148,133,62.5,116,62.5,,,,,,,,,,,,
,,,,,8,,,,,,,,,,,,,R149,6.5,59,,R149,173,68,160,59,153,64,,,,,,,,,,
,,,,,11,11,1.5,,,,,,,,,,,R150,6.5,39,,R150,164,64.5,165,68,170,61,167,65,147,68,,,,,,
,,,,,28,19,9,,,,,,,,,,,R151,5.5,20.5,,R151,155,67,146,63.5,,,,,,,,,,,,
,,,,,,,17,,,,,,,,,,,R152,8.5,53,,R152,163,68,175,69,,,,,,,,,,,,
,,,,,,,9.5,,,,,,,,,,,R153,19,45,,R153,157,60,140,62,121,59,,,,,,,,,,
,,,,,,,8.5,,,,,,,,,,,R154,7.5,20.5,,R154,129,65,168,66.5,182,65,,,,,,,,,,
,,,,,,,4,,,,,,,,,,,R155,11,59,,R155,113,58,144,63,,,,,,,,,,,,
,,,,,47,37,6,,,,,,,,,,,R156,23.5,135,,R156,206,74,164,67,156,65,,,,,,,,,,
,,,,,,,28,25.5,10,,,,,,,,,R157,7,26,,R157,109,63,197,76,,,,,,,,,,,,
,,,,,,,,,14,,,,,,,,,R158,17,45,,R158,108,67.5,141,64.5,,,,,,,,,,,,
,,,,,,,,,6.5,,,,,,,,,R159,12,32,,R159,158,63,189,69,205,72.5,,,,,,,,,,
