Unnamed: 0,Tronc,Unnamed: 2,charpant,Unnamed: 4,1er ss charpante,Unnamed: 6,2ème ss charpante,Unnamed: 8,3ème ss charpante,Unnamed: 10,4ème ss charpante,Unnamed: 12,Rameaux,Unnamed: 14,Unnamed: 15,Fruit 1,Unnamed: 17,Fruit 2,Unnamed: 19,Fruit 3,Unnamed: 21,Fruit 4,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 1,Unnamed: 3,Unnamed: 5,Unnamed: 7,Unnamed: 9,Unnamed: 11,5ème ss charpante,Unnamed: 13,Unnamed: 16,Unnamed: 18,Unnamed: 20,Unnamed: 22,Fruit 5,Fruit 6,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Fruit 7,Fruit 8,Unnamed: 36,Unnamed: 37
,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Numero SS_ch,Niveau,Num_SC_mere,Point_insert,DIAM,long,long + Point_insert,,,,,,,,,,,,,,,,,,,,,,,
A1-1,66.5,40,39,40,53.75,1,,,,,,,R1,6.14,50,112,56,,,,,,,1,1,0,80,53.75,1,81,,,,,,,,,,,,,,,,,,,,,,,
A1-2,66.5,40,39,40,53.75,1,6.14,4,,,,,R2,5.21,51,,,,,,,,,2,2,1,81,6.14,4,85,,,,,,,,,,,,,,,,,,,,,,,
A1-3,66.5,40,39,58,14.2,7.3,,,,,,,R3,7.1,1.6,72,47.5,,,,,,,3,1,0,138,14.2,7.3,145.3,,,,,,,,,,,,,,,,,,,,,,,
A1-4,66.5,40,39,17,62.2,10,,,,,,,R4,9.05,59,,,,,,,,,4,1,0,155,62.2,10,165,,,,,,,,,,,,,,,,,,,,,,,
A1-5,66.5,40,39,17,62.2,35,20.86,1,,,,,R5,7.48,59,200,71,,,,,,,5,2,4,200,20.86,1,201,,,,,,,,,,,,,,,,,,,,,,,
A1-6,66.5,40,39,17,62.2,14,14.55,6,,,,,R6,4.6,32,174,67,,,,,,,6,2,4,201,14.55,6,207,,,,,,,,,,,,,,,,,,,,,,,
A1-7,66.5,40,39,17,62.2,14,14.55,7,,,,,R7,5.71,49,156,65,116,56,48,44,,,7,2,4,207,14.55,7,214,,,,,,,,,,,,,,,,,,,,,,,
A1-8,66.5,40,39,17,62.2,-6.5,13.33,2,,,,,R8,8.2,49,130,60.5,,,,,,,8,2,4,214,13.33,2,216,,,,,,,,,,,,,,,,,,,,,,,
A1-9,66.5,40,39,17,62.2,-6.5,13.33,6,,,,,R9,5.32,47,104,53.5,,,,,,,9,2,4,220,13.33,6,226,,,,,,,,,,,,,,,,,,,,,,,
A1-10,66.5,40,39,17,62.2,14,,,,,,,R10,7.42,65,68,45,46,40,42,38,54,46,10,1,0,155,62.2,14,169,,,,,,,,,,,,,,,,,,,,,,,
A1-11,66.5,40,39,17,62.2,22,,,,,,,R11,8.06,68,148,62,,,,,,,11,1,0,155,62.2,22,177,,,,,,,,,,,,,,,,,,,,,,,
A1-12,66.5,40,39,17,62.2,6,14.21,8,,,,,R12,7.85,86,138,60,76,49.5,80,48,58,47,12,2,4,257,14.21,8,265,,,,,,,,,,,,,,,,,,,,,,,
A1-13,66.5,40,39,17,62.2,23,,,,,,,R13,13.51,79,198,71,180,69,,,,,13,1,0,155,62.2,23,178,,,,,,,,,,,,,,,,,,,,,,,
A1-14,66.5,40,39,17,62.2,10,36.6,3,13.92,9,,,R14,9.5,94,156,62,120,57,,,,,14,3,5,293,13.92,9,302,,,,,,,,,,,,,,,,,,,,,,,
A1-15,66.5,40,39,17,62.2,10,36.6,3,13.92,4,,,R15,9.53,66,158,66,174,51,,,,,15,3,5,302,13.92,4,306,,,,,,,,,,,,,,,,,,,,,,,
A1-16,66.5,40,39,17,62.2,-10,,,,,,,R16,6.93,45,176,64.5,158,63.5,,,,,16,1,0,155,62.2,-10,145,,,,,,,,,,,,,,,,,,,,,,,
A1-17,66.5,40,39,17,62.2,-15,,,,,,,R17,6.5,24,118,64,88,65,,,,,17,1,0,155,62.2,-15,140,,,,,,,,,,,,,,,,,,,,,,,
A1-18,66.5,40,39,17,62.2,23,26,4,,,,,R18,4.76,27,162,65.5,,,,,,,18,2,4,275,26,4,279,,,,,,,,,,,,,,,,,,,,,,,
A1-19,66.5,40,39,17,62.2,23,26,23,14.24,3.5,,,R19,11.95,108,146,66,164,68,116,64.5,,,19,3,5,302,14.24,3.5,305.5,,,,,,,,,,,,,,,,,,,,,,,
A1-20,66.5,40,39,17,62.2,23,26,0,16.06,42,14.54,8,R20,10.8,95,238,77,,,,,,,20,4,14,347.5,14.54,8,355.5,,,,,,,,,,,,,,,,,,,,,,,
A1-21,66.5,40,39,17,62.2,23,26,0,16.06,42,14.54,6,R21,8.18,60,166,55,,,,,,,21,4,14,355.5,14.54,6,361.5,,,,,,,,,,,,,,,,,,,,,,,
A1-22,66.5,40,39,0,,,,,,,,,R22,4.58,32,110,61.5,,,,,,,22,0,0,155,39,0,155,,,,,,,,,,,,,,,,,,,,,,,
A1-23,66.5,40,39,59,,,,,,,,,R23,6.32,31,154,66,,,,,,,23,0,0,214,39,59,273,,,,,,,,,,,,,,,,,,,,,,,
A1-24,66.5,40,39,13,,,,,,,,,R24,7.12,58,,,,,,,,,24,0,0,227,39,13,240,,,,,,,,,,,,,,,,,,,,,,,
A1-25,66.5,40,39,0,13.02,1,13.62,19,,,,,R25,6.96,75,146,63,106,58,92,58,,,25,2,25,228,13.62,19,247,,,,,,,,,,,,,,,,,,,,,,,
A1-26,66.5,40,39,8,13.02,0,,,,,,,R26,10.89,123,184,69,186,66,,,,,26,1,0,235,13.02,0,235,,,,,,,,,,,,,,,,,,,,,,,
A1-27,66.5,40,39,32,60,36,43,23,,,,,R27,8.9,92,172,69,,,,,,,27,2,27,271,43,23,294,,,,,,,,,,,,,,,,,,,,,,,
A1-28,66.5,40,39,9,54.07,28.5,,,,,,,R94,6.74,76.5,,,,,,,,,28,1,1,276,54.07,28.5,304.5,,,,,,,,,,,,,,,,,,,,,,,
A1-29,66.5,40,39,32,60,36,43,12,,,,,R28,9.48,93,200,73.5,,,,,,,29,2,27,335,43,12,347,,,,,,,,,,,,,,,,,,,,,,,
A1-30,66.5,40,39,32,60,8,51,27,,,,,R29,10.16,118,222,75,200,74.5,224,75,,,30,2,27,347,51,27,374,,,,,,,,,,,,,,,,,,,,,,,
A1-31,66.5,40,39,32,60,-3,,,,,,,R30,8.55,105,174,68,140,60,,,,,31,1,1,271,60,-3,268,,,,,,,,,,,,,,,,,,,,,,,
A1-32,66.5,40,39,32,60,3,51,40,,,,,R31,8.66,101,164,68,172,69.5,172,70,,,32,2,27,271,51,40,311,,,,,,,,,,,,,,,,,,,,,,,
A1-33,66.5,40,90,54,12.94,12,,,,,,,R32,10.01,102,106,57,,,,,,,33,1,33,94,12.94,12,106,,,,,,,,,,,,,,,,,,,,,,,
A1-34,66.5,40,90,54,12.94,3,,,,,,,R33,5.96,53,128,58,118,57,,,,,34,1,33,94,12.94,3,97,,,,,,,,,,,,,,,,,,,,,,,
A1-35,66.5,40,90,29,9.77,30,,,,,,,R34,4.83,39,118,55,,,,,,,35,1,35,123,9.77,30,153,,,,,,,,,,,,,,,,,,,,,,,
A1-36,66.5,40,90,34,20,16,,,,,,,R35,7.12,93,122,58,122,58,,,,,36,1,35,157,20,16,173,,,,,,,,,,,,,,,,,,,,,,,
A1-37,66.5,40,90,34,40,13,,,,,,,R36,16.15,60,152,61,92,54,,,,,37,1,37,173,40,13,186,,,,,,,,,,,,,,,,,,,,,,,
A1-38,66.5,40,90,34,40,10,13.44,29,,,,,R37,4.01,27,176,69.5,,,,,,,38,2,38,196,13.44,29,225,,,,,,,,,,,,,,,,,,,,,,,
A1-39,66.5,40,90,34,40,10,13.44,13,,,,,R38,5.48,29,,,,,,,,,39,2,38,225,13.44,13,238,,,,,,,,,,,,,,,,,,,,,,,
A1-40,66.5,40,90,34,40,56,12.72,1,,,,,R39,7.2,54,,,,,,,,,40,2,38,226,12.72,1,227,,,,,,,,,,,,,,,,,,,,,,,
A1-41,66.5,40,90,34,40,3,,,,,,,R40,17.77,180,254,78,226,76,182,70,,,41,1,37,157,40,3,160,,,,,,,,,,,,,,,,,,,,,,,
A1-42,66.5,40,90,40,76,43,8.62,15,,,,,R41,11.42,125,152,68,138,61,,,,,42,2,42,240,8.62,15,255,,,,,,,,,,,,,,,,,,,,,,,
A1-43,66.5,40,90,110,14.86,3,,,,,,,R42,7.99,70.5,172,68,,,,,,,43,1,43,307,14.86,3,310,,,,,,,,,,,,,,,,,,,,,,,
A1-44,66.5,40,90,110,14.86,14.5,,,,,,,R43,6.73,40,,,,,,,,,44,1,43,310,14.86,14.5,324.5,,,,,,,,,,,,,,,,,,,,,,,
A1-45,66.5,40,90,22,22.87,41,,,,,,,R44,13.35,92,178,76,248,78,,,,,45,1,45,329,22.87,41,370,,,,,,,,,,,,,,,,,,,,,,,
A1-46,66.5,40,90,-17,18.98,6,,,,,,,R45,12.7,138,,,,,,,,,46,1,46,312,18.98,6,318,,,,,,,,,,,,,,,,,,,,,,,
A1-47,66.5,40,31.5,56,35.82,59,,,,,,,R46,4.81,26,144,63.5,,,,,,,47,1,47,368,35.82,59,427,,,,,,,,,,,,,,,,,,,,,,,
A1-48,66.5,40,31.5,56,35.82,3,,,,,,,R47,8.6,94,114,56,,,,,,,48,1,47,427,35.82,3,430,,,,,,,,,,,,,,,,,,,,,,,
A1-49,66.5,40,31.5,56,35.82,2,19.12,8,,,,,R48,4.83,31.5,,,,,,,,,49,2,48,432,19.12,8,440,,,,,,,,,,,,,,,,,,,,,,,
A1-50,66.5,40,31.5,56,35.82,2,19.12,6.5,,,,,R49,8.05,64,,,,,,,,,50,2,48,440,19.12,6.5,446.5,,,,,,,,,,,,,,,,,,,,,,,
A1-51,66.5,40,31.5,56,35.82,2,19.12,16,,,,,R50,8.74,53,86,57,104,62,,,,,51,2,48,446.5,19.12,16,462.5,,,,,,,,,,,,,,,,,,,,,,,
A1-52,66.5,40,31.5,56,35.82,0,19.47,24,,,,,R51,7.48,76,188,70,158,75.5,,,,,52,2,48,462.5,19.47,24,486.5,,,,,,,,,,,,,,,,,,,,,,,
A1-53,66.5,40,31.5,56,35.82,0,19.47,2,,,,,R52,7.46,39,182,72,174,70,,,,,53,2,48,486.5,19.47,2,488.5,,,,,,,,,,,,,,,,,,,,,,,
A1-54,66.5,40,31.5,56,48.52,44,,,,,,,R53,5.96,60,144,49,96,55,,,,,54,1,54,368,48.52,44,412,,,,,,,,,,,,,,,,,,,,,,,
A1-55,66.5,40,31.5,56,48.52,12.5,,,,,,,R54,7.97,80,190,70,,,,,,,55,1,54,368,48.52,12.5,380.5,,,,,,,,,,,,,,,,,,,,,,,
A1-56,66.5,40,31.5,56,48.52,20,8.98,8,,,,,R55,6.38,88,128,60,,,,,,,56,2,55,444.5,8.98,8,452.5,,,,,,,,,,,,,,,,,,,,,,,
A1-57,66.5,40,31.5,56,48.52,29.5,,,,,,,R56,6,29,126,59,,,,,,,57,1,54,368,48.52,29.5,397.5,,,,,,,,,,,,,,,,,,,,,,,
A1-58,66.5,40,31.5,56,48.52,23,,,,,,,R57,7.36,26,138,66,148,64.5,,,,,58,1,54,368,48.52,23,391,,,,,,,,,,,,,,,,,,,,,,,
A1-59,66.5,40,31.5,56,48.52,4,,,,,,,R58,9.29,63,190,68,134,59,,,,,59,1,54,368,48.52,4,372,,,,,,,,,,,,,,,,,,,,,,,
A1-60,66.5,40,31.5,56,48.52,46.5,13.3,2.5,,,,,R59,8.02,83,132,60,164,68,146,60,140,64,60,2,59,547.5,13.3,2.5,550,,,,,,,,,,,,,,,,,,,,,,,
A1-61,66.5,40,31.5,34,13.69,6.5,,,,,,,R60,4.62,27,,,,,,,,,61,1,61,402,13.69,6.5,408.5,,,,,,,,,,,,,,,,,,,,,,,
A1-62,66.5,40,31.5,34,13.69,3,,,,,,,R61,7.86,23,,,,,,,,,62,1,61,402,13.69,3,405,,,,,,,,,,,,,,,,,,,,,,,
A1-63,66.5,40,31.5,35.5,,,,,,,,,R62,17.04,175,232,73,108,58,,,,,63,0,0,40,31.5,35.5,75.5,,,,,,,,,,,,,,,,,,,,,,,
A1-64,66.5,40,31.5,28,37.13,3.5,,,,,,,R63,5.94,55.5,,,,,,,,,64,1,64,465.5,37.13,3.5,469,,,,,,,,,,,,,,,,,,,,,,,
A1-65,66.5,40,31.5,13,54.43,94,,,,,,,R64,9.06,67,,,,,,,,,65,1,65,478.5,54.43,94,572.5,,,,,,,,,,,,,,,,,,,,,,,
A1-66,66.5,40,31.5,13,54.43,7,31.15,17,,,,,R65,11.97,73,208,71,168,66.5,192,69,,,66,2,65,579.5,31.15,17,596.5,,,,,,,,,,,,,,,,,,,,,,,
A1-67,66.5,40,31.5,13,54.43,7,29.13,4,,,,,R66,11.62,77,224,74,150,63,170,76,,,67,2,65,596.5,29.13,4,600.5,,,,,,,,,,,,,,,,,,,,,,,
A1-68,66.5,40,31.5,13,54.43,-47,,,,,,,R67,4,133,262,84,262,85,144,63,,,68,1,65,478.5,54.43,-47,431.5,,,,,,,,,,,,,,,,,,,,,,,
A1-69,66.5,40,31.5,30,52.92,28.5,28.16,3,,,,,R68,8.15,67,,,,,,,,,69,2,69,537,28.16,3,540,,,,,,,,,,,,,,,,,,,,,,,
A1-70,66.5,40,31.5,30,52.92,28.5,28.16,0,,,,,R69,10.88,107.5,246,74,206,70,192,71,162,65,70,0,69,540,28.16,0,540,,,,,,,,,,,,,,,,,,,,,,,
A1-71,66.5,40,31.5,30,52.92,16,26.64,3,,,,,R70,9.63,81.5,172,68,158,65,158,65,,,71,2,69,553,26.64,3,556,,,,,,,,,,,,,,,,,,,,,,,
A1-72,66.5,40,31.5,30,52.92,16,26.64,0,,,,,R71,8.19,69.5,224,64,148,64,162,75,,,72,0,69,556,26.64,0,556,,,,,,,,,,,,,,,,,,,,,,,
A1-73,66.5,40,31.5,30,52.92,14,15.99,36,,,,,R72,10.24,56.5,182,69,138,63,,,,,73,2,69,570,15.99,36,606,,,,,,,,,,,,,,,,,,,,,,,
A1-74,66.5,40,31.5,30,52.92,-16,,,,,,,R73,8.04,87,200,70,156,64,,,,,74,1,69,567,52.92,-16,551,,,,,,,,,,,,,,,,,,,,,,,
A1-75,66.5,40,29.5,24,,,,,,,,,R74,15.37,123,168,66,130,63,,,,,75,0,0,40,29.5,24,64,,,,,,,,,,,,,,,,,,,,,,,
A1-76,66.5,40,29.5,23,,,,,,,,,R75,4.79,43.5,110,56,,,,,,,76,0,0,40,29.5,23,63,,,,,,,,,,,,,,,,,,,,,,,
A1-77,66.5,40,29.5,56,15.49,5,,,,,,,R76,6.18,61,170,65,136,61.5,74,54,,,77,1,75,611.5,15.49,5,616.5,,,,,,,,,,,,,,,,,,,,,,,
A1-78,66.5,40,29.5,-46.5,11.89,4,,,,,,,R77,4.68,41,,,,,,,,,78,1,75,565,11.89,4,569,,,,,,,,,,,,,,,,,,,,,,,
A1-79,66.5,40,29.5,-46.5,11.89,4.5,9.36,14,,,,,R78,6.55,43,134,68,116,66,,,,,79,2,78,569.5,9.36,14,583.5,,,,,,,,,,,,,,,,,,,,,,,
A1-80,66.5,40,29.5,-14.5,,,,,,,,,R79,5.64,59.5,,,,,,,,,80,0,0,40,29.5,-14.5,25.5,,,,,,,,,,,,,,,,,,,,,,,
A1-81,66.5,40,29.5,32,16.3,11,,,,,,,R80,4.39,28,74,51,76,50,82,49,,,81,1,75,587,16.3,11,598,,,,,,,,,,,,,,,,,,,,,,,
A1-82,66.5,40,29.5,32,16.3,6,,,,,,,R81,5.4,34,110,57,,,,,,,82,1,75,587,16.3,6,593,,,,,,,,,,,,,,,,,,,,,,,
A1-83,66.5,40,29.5,32,16.3,2,,,,,,,R82,4.96,45,102,52.5,,,,,,,83,1,75,587,16.3,2,589,,,,,,,,,,,,,,,,,,,,,,,
A1-84,66.5,40,29.5,30,14.84,12.65,,,,,,,R83,10.63,113,148,63,202,70,134,68,,,84,1,75,617,14.84,12.65,629.65,,,,,,,,,,,,,,,,,,,,,,,
A1-85,66.5,40,29.5,65,,,,,,,,,R84,4.93,23.5,134,58,,,,,,,85,0,0,40,29.5,65,105,,,,,,,,,,,,,,,,,,,,,,,
A1-86,66.5,40,29.5,13.5,10.5,9.5,,,,,,,R85,6,61,146,64,,,,,,,86,1,75,695.5,10.5,9.5,705,,,,,,,,,,,,,,,,,,,,,,,
A1-87,66.5,40,29.5,12,,,,,,,,,R86,7.35,32.5,164,69,126,63.5,,,,,87,0,0,40,29.5,12,52,,,,,,,,,,,,,,,,,,,,,,,
A1-88,66.5,40,29.5,23.5,,,,,,,,,R87,9.64,117,172,67,244,77,192,70,,,88,0,0,40,29.5,23.5,63.5,,,,,,,,,,,,,,,,,,,,,,,
A1-89,66.5,40,29.5,5.5,30.88,38,,,,,,,R88,9.35,80,210,70,194,70,258,78,,,89,1,75,736.5,30.88,38,774.5,,,,,,,,,,,,,,,,,,,,,,,
A1-90,66.5,40,29.5,9,,,,,,,,,R89,10.25,106.5,,,,,,,,,90,0,0,40,29.5,9,49,,,,,,,,,,,,,,,,,,,,,,,
A1-91,66.5,40,29.5,-45,66.38,31,59.17,10,,,,,R90,10.14,116,136,60,,,,,,,91,2,91,731.5,59.17,10,741.5,,,,,,,,,,,,,,,,,,,,,,,
A1-92,66.5,40,29.5,-45,66.38,31,59.17,8.5,19.16,13,,,R91,5.1,20,186,69,,,,,,,92,3,92,750,19.16,13,763,,,,,,,,,,,,,,,,,,,,,,,
A1-93,66.5,40,29.5,-45,66.38,31,59.17,8.5,19.16,9,,,R92,11.72,106.5,214,73,200,68,182,69,,,93,3,92,763,19.16,9,772,,,,,,,,,,,,,,,,,,,,,,,
A1-94,66.5,40,29.5,-45,66.38,31,59.17,8.5,19.16,19,,,R93,8.3,73,218,74,248,76,71,47,,,94,3,92,772,19.16,19,791,,,,,,,,,,,,,,,,,,,,,,,
A1-95,66.5,40,29.5,-45,66.38,30.5,43.03,10,24.29,6.5,,,R95,5.74,48.5,,,,,,,,,95,3,92,791,24.29,6.5,797.5,,,,,,,,,,,,,,,,,,,,,,,
A1-96,66.5,40,29.5,-45,66.38,0,44.93,9.5,,,,,R96,10.49,87,214,73.5,222,73.5,190,71,,,96,2,91,762,44.93,9.5,771.5,,,,,,,,,,,,,,,,,,,,,,,
A1-97,66.5,40,29.5,-45,66.38,0,44.93,3,18.94,20.5,,,R97,14.5,100,280,79,152,67,262,82,,,97,3,96,774.5,18.94,20.5,795,,,,,,,,,,,,,,,,,,,,,,,
,Diam,,Diam,,Diam,,Diam,,Diam,,Diam,,N° ram,,Diam,Poids,,Poids,,Poids,,Poids,,Diam,,Diam,,Diam,Numero SS_ch,Niveau,Long,Long,Long,Long,Long,Long,Diam,Long,Long,Diam,Diam,Diam,Poids,Poids,Num_SC_mere,Point_insert,DIAM,long,long + Point_insert,,,,
,64.5,,33,,,,,,,,,,R1,,20,126,,,,,,,,,,,,,1,0,34,62,,,,,,,104,62,,,,,1,34,33,62,96,,,,
,64.5,,33,,,,,,,,,,R2,,10,166,,,,,,,,,,,,,2,0,34,46,,,,,,,59.5,66,,,,,1,96,33,46,142,,,,
,64.5,,33,,,,,,,,,,R3,,12,158,,178,,58,,,,,,,,,3,0,34,66,,,,,,,107,69,71.5,47,,,1,162,33,66,228,,,,
,64.5,,33,,,,,,,,,,R4,,9,186,,178,,152,,,,,,,,,4,0,34,8.5,,,,,,,70.5,73.5,72,65,,,1,228,33,8.5,236.5,,,,
,64.5,,33,,,,,,,,,,R5,,16,162,,136,,210,,218,,75,,63,,61.5,5,0,34,0,,,,,,,129,68,63,74,140,130,1,236.5,33,0,236.5,,,,
,64.5,,33,,66,,,,,,,,R6,,7,128,,134,,142,,112,,60,,,,,6,1,34,0,35,,,,,,44,61,61,65,,,5,236.5,66,35,271.5,,,,
,64.5,,33,,66,,10,,,,,,R7,,6,158,,,,,,,,,,,,,7,2,34,0,0,5,,,,,17,67,,,,,6,271.5,10,5,276.5,,,,
,64.5,,33,,66,,46,,,,,,R8,,9.5,112,,150,,,,,,,,,,,8,2,34,0,46,4,,,,,96,57,66,,,,6,297.5,46,4,301.5,,,,
,64.5,,33,,66,,46,,,,,,R9,,12.5,90,,116,,186,,236,,80,,74,,,9,2,34,0,46,0,,,,,106,51,59,71,222,,6,301.5,46,0,301.5,,,,
,64.5,,33,,66,,34,,,,,,R10,,7,170,,,,,,,,,,,,,10,2,34,0,8,20,,,,,45,67,,,,,6,305.5,34,20,325.5,,,,
,64.5,,33,,66,,34,,,,,,R11,,7.5,182,,,,,,,,,,,,,11,2,34,0,8,14,,,,,22,69,,,,,6,325.5,34,14,339.5,,,,
,64.5,,33,,66,,34,,,,,,R12,,8,210,,200,,,,,,,,,,,12,2,34,0,8,3,,,,,34,73,74,,,,6,339.5,34,3,342.5,,,,
,64.5,,33,,66,,34,,13,,,,R13,,6,148,,126,,,,,,,,,,,13,3,34,0,8,7,6,,,,28,60.5,58,,,,12,349.5,13,6,355.5,,,,
,64.5,,33,,66,,34,,12,,,,R14,,9.5,172,,,,,,,,,,,,,14,3,34,0,8,3,7,,,,43,66.5,,,,,12,359.5,12,7,366.5,,,,
,64.5,,32.5,,55.5,,,,,,,,R15,,5,168,,,,,,,,,,,,,15,1,34,66,25,,,,,,20,67,,,,,15,282.5,55.5,25,307.5,,,,
,64.5,,32.5,,55.5,,,,,,,,R16,,9,104,,202,,184,,,,,,,,,16,1,34,66,15,,,,,,89.5,56.5,73,70,,,15,307.5,55.5,15,322.5,,,,
,64.5,,32.5,,55.5,,,,,,,,R17,,19.5,108,,158,,,,,,,,,,,17,1,34,66,0,,,,,,183,56.5,67,,,,15,322.5,55.5,0,322.5,,,,
